# pressure  , temperature 
# [Pa]      , [K] 
1.00000e+00 , 4.50715e+01 
1.12759e+00 , 4.63228e+01 
1.27145e+00 , 4.77338e+01 
1.43367e+00 , 4.91878e+01 
1.61659e+00 , 5.06860e+01 
1.82285e+00 , 5.22299e+01 
2.05542e+00 , 5.38209e+01 
2.31767e+00 , 5.54602e+01 
2.61337e+00 , 5.71496e+01 
2.94681e+00 , 5.88903e+01 
3.32278e+00 , 6.06841e+01 
3.74673e+00 , 6.25326e+01 
4.22477e+00 , 6.44373e+01 
4.76379e+00 , 6.64001e+01 
5.37159e+00 , 6.84226e+01 
6.05694e+00 , 7.05068e+01 
6.82973e+00 , 7.26544e+01 
7.70112e+00 , 7.48674e+01 
8.68368e+00 , 7.71479e+01 
9.79161e+00 , 7.94978e+01 
1.10409e+01 , 8.19193e+01 
1.24496e+01 , 8.44146e+01 
1.40380e+01 , 8.69858e+01 
1.58291e+01 , 8.96354e+01 
1.78486e+01 , 9.23657e+01 
2.01259e+01 , 9.51792e+01 
2.26937e+01 , 9.80783e+01 
2.55891e+01 , 1.01066e+02 
2.88540e+01 , 1.04144e+02 
3.25354e+01 , 1.07316e+02 
3.66865e+01 , 1.10585e+02 
4.13672e+01 , 1.13954e+02 
4.66452e+01 , 1.17425e+02 
5.25965e+01 , 1.21002e+02 
5.93072e+01 , 1.24687e+02 
6.68740e+01 , 1.28485e+02 
7.54063e+01 , 1.32399e+02 
8.50272e+01 , 1.36432e+02 
9.58756e+01 , 1.40587e+02 
1.08108e+02 , 1.44870e+02 
1.21901e+02 , 1.49282e+02 
1.37454e+02 , 1.53830e+02 
1.54992e+02 , 1.58515e+02 
1.74767e+02 , 1.63344e+02 
1.97065e+02 , 1.68319e+02 
2.22208e+02 , 1.73446e+02 
2.50559e+02 , 1.78729e+02 
2.82527e+02 , 1.84173e+02 
3.18574e+02 , 1.89783e+02 
3.59220e+02 , 1.95564e+02 
4.05052e+02 , 2.01521e+02 
4.56731e+02 , 2.07659e+02 
5.15005e+02 , 2.13984e+02 
5.80713e+02 , 2.20502e+02 
6.54804e+02 , 2.27219e+02 
7.38349e+02 , 2.34140e+02 
8.32553e+02 , 2.41272e+02 
9.38777e+02 , 2.48621e+02 
1.05855e+03 , 2.56194e+02 
1.19361e+03 , 2.63998e+02 
1.34590e+03 , 2.72039e+02 
1.51762e+03 , 2.80325e+02 
1.71125e+03 , 2.88864e+02 
1.92958e+03 , 2.97663e+02 
2.17577e+03 , 3.06730e+02 
2.45337e+03 , 3.16073e+02 
2.76639e+03 , 3.25700e+02 
3.11935e+03 , 3.35621e+02 
3.51734e+03 , 3.45844e+02 
3.96611e+03 , 3.56378e+02 
4.47214e+03 , 3.67234e+02 
5.04272e+03 , 3.78420e+02 
5.68611e+03 , 3.89946e+02 
6.41159e+03 , 4.01824e+02 
7.22963e+03 , 4.14064e+02 
8.15204e+03 , 4.26676e+02 
9.19213e+03 , 4.39672e+02 
1.03649e+04 , 4.53065e+02 
1.16874e+04 , 4.66865e+02 
1.31785e+04 , 4.81086e+02 
1.48599e+04 , 4.95740e+02 
1.67559e+04 , 5.10840e+02 
1.88937e+04 , 5.26400e+02 
2.13043e+04 , 5.42434e+02 
2.40225e+04 , 5.58957e+02 
2.70875e+04 , 5.75983e+02 
3.05435e+04 , 5.93527e+02 
3.44404e+04 , 6.11606e+02 
3.88346e+04 , 6.30235e+02 
4.37894e+04 , 6.49432e+02 
4.93764e+04 , 6.69214e+02 
5.56762e+04 , 6.89598e+02 
6.27798e+04 , 7.10603e+02 
7.07897e+04 , 7.32248e+02 
7.98215e+04 , 7.54553e+02 
9.00058e+04 , 7.77536e+02 
1.01489e+05 , 8.01220e+02 
1.14438e+05 , 8.25625e+02 
1.29039e+05 , 8.50774e+02 
1.45503e+05 , 8.76688e+02 
1.64067e+05 , 9.03392e+02 
1.85000e+05 , 9.30909e+02 
2.08604e+05 , 9.59265e+02 
2.35219e+05 , 9.88484e+02 
2.65230e+05 , 1.01859e+03 
2.99070e+05 , 1.04962e+03 
3.37227e+05 , 1.08159e+03 
3.80253e+05 , 1.11454e+03 
4.28769e+05 , 1.14848e+03 
4.83474e+05 , 1.18347e+03 
5.45159e+05 , 1.21952e+03 
6.14715e+05 , 1.25666e+03 
6.93145e+05 , 1.29494e+03 
7.81581e+05 , 1.33438e+03 
8.81301e+05 , 1.37503e+03 
9.93744e+05 , 1.41691e+03 
1.12053e+06 , 1.46007e+03 
1.26350e+06 , 1.50455e+03 
1.42471e+06 , 1.55037e+03 
1.60648e+06 , 1.59760e+03 
1.81145e+06 , 1.64626e+03 
2.04257e+06 , 1.69641e+03 
2.30317e+06 , 1.74808e+03 
2.59703e+06 , 1.80133e+03 
2.92837e+06 , 1.85619e+03 
3.30200e+06 , 1.91273e+03 
3.72329e+06 , 1.97099e+03 
4.19834e+06 , 2.03103e+03 
4.73399e+06 , 2.09290e+03 
5.33799e+06 , 2.15665e+03 
6.01905e+06 , 2.22234e+03 
6.78700e+06 , 2.29003e+03 
7.65294e+06 , 2.35978e+03 
8.62936e+06 , 2.43166e+03 
9.73036e+06 , 2.50573e+03 
1.09718e+07 , 2.58206e+03 
1.23717e+07 , 2.66071e+03 
1.49228e+07 , 2.78832e+03 
1.80000e+07 , 2.92205e+03 
1.89737e+07 , 2.96077e+03 
2.00000e+07 , 3.00000e+03 
