# pressure  , U_LW        , D_LW        , N_LW        , U_SW        , D_SW        , N_SW        , U           , D           , N           , C       
# [Pa]      , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2] 
1.00000e+00 , +4.8633e+04 , +1.7150e-09 , +4.8633e+04 , +0.0000e+00 , +2.7866e+02 , -2.7866e+02 , +4.8633e+04 , +2.7866e+02 , +4.8354e+04 , +0.0000e+00 
1.27145e+00 , +4.8633e+04 , +5.1032e-01 , +4.8632e+04 , +0.0000e+00 , +2.7843e+02 , -2.7843e+02 , +4.8633e+04 , +2.7894e+02 , +4.8354e+04 , +6.6282e-02 
1.61659e+00 , +4.8633e+04 , +9.2689e-01 , +4.8632e+04 , +0.0000e+00 , +2.7834e+02 , -2.7834e+02 , +4.8633e+04 , +2.7926e+02 , +4.8354e+04 , +0.0000e+00 
2.05542e+00 , +4.8633e+04 , +1.3705e+00 , +4.8632e+04 , +0.0000e+00 , +2.7825e+02 , -2.7825e+02 , +4.8633e+04 , +2.7962e+02 , +4.8354e+04 , +0.0000e+00 
2.61337e+00 , +4.8634e+04 , +1.8960e+00 , +4.8632e+04 , +0.0000e+00 , +2.7815e+02 , -2.7815e+02 , +4.8634e+04 , +2.8005e+02 , +4.8354e+04 , +0.0000e+00 
3.32278e+00 , +4.8634e+04 , +2.5336e+00 , +4.8632e+04 , +0.0000e+00 , +2.7805e+02 , -2.7805e+02 , +4.8634e+04 , +2.8059e+02 , +4.8354e+04 , +0.0000e+00 
4.22477e+00 , +4.8635e+04 , +3.3345e+00 , +4.8632e+04 , +0.0000e+00 , +2.7794e+02 , -2.7794e+02 , +4.8635e+04 , +2.8128e+02 , +4.8354e+04 , +0.0000e+00 
5.37159e+00 , +4.8636e+04 , +4.3694e+00 , +4.8632e+04 , +0.0000e+00 , +2.7781e+02 , -2.7781e+02 , +4.8636e+04 , +2.8218e+02 , +4.8354e+04 , +0.0000e+00 
6.82973e+00 , +4.8637e+04 , +5.7023e+00 , +4.8632e+04 , +0.0000e+00 , +2.7767e+02 , -2.7767e+02 , +4.8637e+04 , +2.8337e+02 , +4.8354e+04 , +0.0000e+00 
8.68368e+00 , +4.8639e+04 , +7.4597e+00 , +4.8631e+04 , +0.0000e+00 , +2.7751e+02 , -2.7751e+02 , +4.8639e+04 , +2.8497e+02 , +4.8354e+04 , +0.0000e+00 
