# pressure  , temperature 
# [Pa]      , [K] 
1.00000e+00 , 2.22499e+02 
1.12759e+00 , 2.31112e+02 
1.27145e+00 , 2.42873e+02 
1.43367e+00 , 2.51775e+02 
1.61659e+00 , 2.57810e+02 
1.82285e+00 , 2.62558e+02 
2.05542e+00 , 2.66653e+02 
2.31767e+00 , 2.70313e+02 
2.61337e+00 , 2.73880e+02 
2.94681e+00 , 2.77172e+02 
3.32278e+00 , 2.80082e+02 
3.74673e+00 , 2.82800e+02 
4.22477e+00 , 2.85425e+02 
4.76379e+00 , 2.88016e+02 
5.37159e+00 , 2.90702e+02 
6.05694e+00 , 2.93357e+02 
6.82973e+00 , 2.95847e+02 
7.70112e+00 , 2.98336e+02 
8.68368e+00 , 3.00975e+02 
9.79161e+00 , 3.03668e+02 
1.10409e+01 , 3.06277e+02 
1.24496e+01 , 3.09066e+02 
1.40380e+01 , 3.12399e+02 
1.58291e+01 , 3.16030e+02 
1.78486e+01 , 3.19752e+02 
2.01259e+01 , 3.23642e+02 
2.26937e+01 , 3.27733e+02 
2.55891e+01 , 3.31960e+02 
2.88540e+01 , 3.36268e+02 
3.25354e+01 , 3.40639e+02 
3.66865e+01 , 3.44962e+02 
4.13672e+01 , 3.49456e+02 
4.66452e+01 , 3.54400e+02 
5.25965e+01 , 3.59591e+02 
5.93072e+01 , 3.64846e+02 
6.68740e+01 , 3.70318e+02 
7.54063e+01 , 3.76155e+02 
8.50272e+01 , 3.82238e+02 
9.58756e+01 , 3.88434e+02 
1.08108e+02 , 3.94890e+02 
1.21901e+02 , 4.01699e+02 
1.37454e+02 , 4.08941e+02 
1.54992e+02 , 4.16814e+02 
1.74767e+02 , 4.25142e+02 
1.97065e+02 , 4.33766e+02 
2.22208e+02 , 4.42742e+02 
2.50559e+02 , 4.52091e+02 
2.82527e+02 , 4.61760e+02 
3.18574e+02 , 4.71627e+02 
3.59220e+02 , 4.81901e+02 
4.05052e+02 , 4.92789e+02 
4.56731e+02 , 5.04260e+02 
5.15005e+02 , 5.16327e+02 
5.80713e+02 , 5.29086e+02 
6.54804e+02 , 5.42691e+02 
7.38349e+02 , 5.57048e+02 
8.32553e+02 , 5.72117e+02 
9.38777e+02 , 5.87840e+02 
1.05855e+03 , 6.04132e+02 
1.19361e+03 , 6.20991e+02 
1.34590e+03 , 6.38279e+02 
1.51762e+03 , 6.56307e+02 
1.71125e+03 , 6.75380e+02 
1.92958e+03 , 6.95511e+02 
2.17577e+03 , 7.16789e+02 
2.45337e+03 , 7.39354e+02 
2.76639e+03 , 7.63463e+02 
3.11935e+03 , 7.88955e+02 
3.51734e+03 , 8.15654e+02 
3.96611e+03 , 8.43772e+02 
4.47214e+03 , 8.73532e+02 
5.04272e+03 , 9.04805e+02 
5.68611e+03 , 9.37488e+02 
6.41159e+03 , 9.71652e+02 
7.22963e+03 , 1.00736e+03 
8.15204e+03 , 1.04453e+03 
9.19213e+03 , 1.08311e+03 
1.03649e+04 , 1.12307e+03 
1.16874e+04 , 1.16443e+03 
1.31785e+04 , 1.20702e+03 
1.48599e+04 , 1.25076e+03 
1.67559e+04 , 1.29528e+03 
1.88937e+04 , 1.34022e+03 
2.13043e+04 , 1.38546e+03 
2.40225e+04 , 1.43089e+03 
2.70875e+04 , 1.47620e+03 
3.05435e+04 , 1.52118e+03 
3.44404e+04 , 1.56543e+03 
3.88346e+04 , 1.60847e+03 
4.37894e+04 , 1.65043e+03 
4.93764e+04 , 1.69130e+03 
5.56762e+04 , 1.73113e+03 
6.27798e+04 , 1.77006e+03 
7.07897e+04 , 1.80785e+03 
7.98215e+04 , 1.84434e+03 
9.00058e+04 , 1.87954e+03 
1.01489e+05 , 1.91335e+03 
1.14438e+05 , 1.94594e+03 
1.29039e+05 , 1.97738e+03 
1.45503e+05 , 2.00783e+03 
1.64067e+05 , 2.03749e+03 
1.85000e+05 , 2.06630e+03 
2.08604e+05 , 2.09460e+03 
2.35219e+05 , 2.12150e+03 
2.65230e+05 , 2.14582e+03 
2.99070e+05 , 2.16931e+03 
3.37227e+05 , 2.19354e+03 
3.80253e+05 , 2.21732e+03 
4.28769e+05 , 2.23976e+03 
4.83474e+05 , 2.26173e+03 
5.45159e+05 , 2.28392e+03 
6.14715e+05 , 2.30591e+03 
6.93145e+05 , 2.32739e+03 
7.81581e+05 , 2.34878e+03 
8.81301e+05 , 2.37051e+03 
9.93744e+05 , 2.39221e+03 
1.12053e+06 , 2.41347e+03 
1.26350e+06 , 2.43482e+03 
1.42471e+06 , 2.45690e+03 
1.60648e+06 , 2.47898e+03 
1.81145e+06 , 2.50021e+03 
2.04257e+06 , 2.52163e+03 
2.30317e+06 , 2.54447e+03 
2.59703e+06 , 2.56734e+03 
2.92837e+06 , 2.58869e+03 
3.30200e+06 , 2.61027e+03 
3.72329e+06 , 2.63413e+03 
4.19834e+06 , 2.65806e+03 
4.73399e+06 , 2.67967e+03 
5.33799e+06 , 2.70145e+03 
6.01905e+06 , 2.72595e+03 
6.78700e+06 , 2.75073e+03 
7.65294e+06 , 2.77336e+03 
8.62936e+06 , 2.79621e+03 
9.73036e+06 , 2.82139e+03 
1.09718e+07 , 2.84753e+03 
1.23717e+07 , 2.87307e+03 
1.49228e+07 , 2.91528e+03 
1.80000e+07 , 2.96701e+03 
1.89737e+07 , 2.98180e+03 
2.00000e+07 , 2.99866e+03 
