# pressure  , U_LW        , D_LW        , N_LW        , U_SW        , D_SW        , N_SW        , U           , D           , N           , C           , tot      
# [Pa]      , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]  
1.00000e+00 , +2.3224e+04 , +4.7122e-07 , +2.3224e+04 , +8.9565e+02 , +9.9508e+03 , -9.0552e+03 , +2.4120e+04 , +9.9508e+03 , +1.4169e+04 , +0.0000e+00, +0.0000e+00 
1.47653e+00 , +2.3224e+04 , +9.2585e+02 , +2.2299e+04 , +8.9565e+02 , +9.8832e+03 , -8.9875e+03 , +2.4120e+04 , +1.0809e+04 , +1.3311e+04 , +0.0000e+00, +0.0000e+00 
2.18016e+00 , +2.3224e+04 , +1.3073e+03 , +2.1917e+04 , +8.9564e+02 , +9.8452e+03 , -8.9496e+03 , +2.4120e+04 , +1.1153e+04 , +1.2968e+04 , +0.0000e+00, +0.0000e+00 
3.21908e+00 , +2.3224e+04 , +1.6581e+03 , +2.1566e+04 , +8.9564e+02 , +9.8135e+03 , -8.9178e+03 , +2.4120e+04 , +1.1472e+04 , +1.2649e+04 , +0.0000e+00, +0.0000e+00 
4.75308e+00 , +2.3224e+04 , +1.9864e+03 , +2.1238e+04 , +8.9563e+02 , +9.7830e+03 , -8.8874e+03 , +2.4120e+04 , +1.1769e+04 , +1.2351e+04 , +0.0000e+00, +0.0000e+00 
7.01808e+00 , +2.3224e+04 , +2.3097e+03 , +2.0915e+04 , +8.9563e+02 , +9.7473e+03 , -8.8517e+03 , +2.4120e+04 , +1.2057e+04 , +1.2063e+04 , +0.0000e+00, +0.0000e+00 
1.03624e+01 , +2.3224e+04 , +2.6438e+03 , +2.0581e+04 , +8.9562e+02 , +9.7008e+03 , -8.8052e+03 , +2.4120e+04 , +1.2345e+04 , +1.1775e+04 , +0.0000e+00, +0.0000e+00 
1.53005e+01 , +2.3224e+04 , +3.0194e+03 , +2.0205e+04 , +8.9560e+02 , +9.6387e+03 , -8.7431e+03 , +2.4120e+04 , +1.2658e+04 , +1.1462e+04 , +0.0000e+00, +0.0000e+00 
2.25917e+01 , +2.3224e+04 , +3.4738e+03 , +1.9751e+04 , +8.9558e+02 , +9.5567e+03 , -8.6612e+03 , +2.4120e+04 , +1.3031e+04 , +1.1089e+04 , +0.0000e+00, +0.0000e+00 
3.33575e+01 , +2.3224e+04 , +4.0560e+03 , +1.9168e+04 , +8.9554e+02 , +9.4514e+03 , -8.5558e+03 , +2.4120e+04 , +1.3507e+04 , +1.0613e+04 , +0.0000e+00, +0.0000e+00 
4.92535e+01 , +2.3224e+04 , +4.8312e+03 , +1.8393e+04 , +8.9549e+02 , +9.3202e+03 , -8.4247e+03 , +2.4120e+04 , +1.4151e+04 , +9.9685e+03 , +0.0000e+00, +0.0000e+00 
7.27245e+01 , +2.3224e+04 , +5.8698e+03 , +1.7355e+04 , +8.9541e+02 , +9.1630e+03 , -8.2676e+03 , +2.4120e+04 , +1.5033e+04 , +9.0870e+03 , +0.0000e+00, +0.0000e+00 
1.07380e+02 , +2.3224e+04 , +7.1782e+03 , +1.6046e+04 , +8.9530e+02 , +8.9819e+03 , -8.0866e+03 , +2.4120e+04 , +1.6160e+04 , +7.9596e+03 , +0.0000e+00, +0.0000e+00 
1.58551e+02 , +2.3224e+04 , +8.7248e+03 , +1.4500e+04 , +8.9514e+02 , +8.7799e+03 , -7.8848e+03 , +2.4120e+04 , +1.7505e+04 , +6.6148e+03 , +0.0000e+00, +0.0000e+00 
2.34106e+02 , +2.3224e+04 , +1.0474e+04 , +1.2750e+04 , +8.9490e+02 , +8.5603e+03 , -7.6655e+03 , +2.4119e+04 , +1.9034e+04 , +5.0849e+03 , +0.0000e+00, +0.0000e+00 
3.45665e+02 , +2.3224e+04 , +1.2449e+04 , +1.0775e+04 , +8.9455e+02 , +8.3200e+03 , -7.4255e+03 , +2.4119e+04 , +2.0769e+04 , +3.3496e+03 , +0.0000e+00, +0.0000e+00 
5.10387e+02 , +2.3224e+04 , +1.4507e+04 , +8.7177e+03 , +8.9403e+02 , +8.0492e+03 , -7.1552e+03 , +2.4118e+04 , +2.2556e+04 , +1.5625e+03 , +0.0000e+00, +0.0000e+00 
