# pressure  , U_LW        , D_LW        , N_LW        , U_SW        , D_SW        , N_SW        , U           , D           , N           , C           , tot      
# [Pa]      , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]  
1.00000e+00 , +9.0082e+03 , +4.9407e-08 , +9.0082e+03 , +9.4261e+02 , +9.9508e+03 , -9.0082e+03 , +9.9508e+03 , +9.9508e+03 , +1.3041e-07 , +0.0000e+00, +1.3041e-07 
1.47653e+00 , +9.0140e+03 , +4.1051e+01 , +8.9730e+03 , +9.4261e+02 , +9.9156e+03 , -8.9730e+03 , +9.9567e+03 , +9.9567e+03 , +1.2539e-07 , +0.0000e+00, +1.2539e-07 
2.18016e+00 , +9.0159e+03 , +6.2661e+01 , +8.9532e+03 , +9.4261e+02 , +9.8959e+03 , -8.9532e+03 , +9.9585e+03 , +9.9585e+03 , +1.1525e-07 , +0.0000e+00, +1.1525e-07 
3.21908e+00 , +9.0127e+03 , +7.8763e+01 , +8.9339e+03 , +9.4260e+02 , +9.8765e+03 , -8.9339e+03 , +9.9553e+03 , +9.9553e+03 , +1.1342e-07 , +0.0000e+00, +1.1342e-07 
4.75308e+00 , +9.0051e+03 , +8.8847e+01 , +8.9163e+03 , +9.4260e+02 , +9.8589e+03 , -8.9163e+03 , +9.9477e+03 , +9.9477e+03 , +1.0481e-07 , +0.0000e+00, +1.0481e-07 
7.01808e+00 , +8.9974e+03 , +9.6254e+01 , +8.9011e+03 , +9.4259e+02 , +9.8437e+03 , -8.9011e+03 , +9.9400e+03 , +9.9400e+03 , +8.5720e-08 , +0.0000e+00, +8.5720e-08 
1.03624e+01 , +8.9926e+03 , +1.0578e+02 , +8.8869e+03 , +9.4259e+02 , +9.8294e+03 , -8.8869e+03 , +9.9352e+03 , +9.9352e+03 , +9.7236e-08 , +0.0000e+00, +9.7236e-08 
1.53005e+01 , +8.9916e+03 , +1.2102e+02 , +8.8706e+03 , +9.4257e+02 , +9.8132e+03 , -8.8706e+03 , +9.9342e+03 , +9.9342e+03 , +9.0989e-08 , +0.0000e+00, +9.0989e-08 
2.25917e+01 , +8.9949e+03 , +1.4577e+02 , +8.8492e+03 , +9.4255e+02 , +9.7917e+03 , -8.8492e+03 , +9.9375e+03 , +9.9375e+03 , +8.6873e-08 , +0.0000e+00, +8.6873e-08 
3.33575e+01 , +9.0032e+03 , +1.8387e+02 , +8.8193e+03 , +9.4253e+02 , +9.7618e+03 , -8.8193e+03 , +9.9457e+03 , +9.9457e+03 , +8.4890e-08 , +0.0000e+00, +8.4890e-08 
4.92535e+01 , +9.0200e+03 , +2.4314e+02 , +8.7769e+03 , +9.4248e+02 , +9.7194e+03 , -8.7769e+03 , +9.9625e+03 , +9.9625e+03 , +7.9923e-08 , +0.0000e+00, +7.9923e-08 
7.27245e+01 , +9.0512e+03 , +3.3564e+02 , +8.7155e+03 , +9.4242e+02 , +9.6580e+03 , -8.7155e+03 , +9.9936e+03 , +9.9936e+03 , +8.4765e-08 , +0.0000e+00, +8.4765e-08 
1.07380e+02 , +9.1032e+03 , +4.7780e+02 , +8.6254e+03 , +9.4233e+02 , +9.5677e+03 , -8.6254e+03 , +1.0045e+04 , +1.0045e+04 , +8.3533e-08 , +0.0000e+00, +8.3533e-08 
1.58551e+02 , +9.1893e+03 , +6.9524e+02 , +8.4940e+03 , +9.4220e+02 , +9.4362e+03 , -8.4940e+03 , +1.0131e+04 , +1.0131e+04 , +8.3490e-08 , +0.0000e+00, +8.3490e-08 
2.34106e+02 , +9.3276e+03 , +1.0159e+03 , +8.3116e+03 , +9.4201e+02 , +9.2536e+03 , -8.3116e+03 , +1.0270e+04 , +1.0270e+04 , +8.7979e-08 , +0.0000e+00, +8.7979e-08 
3.45665e+02 , +9.5370e+03 , +1.4624e+03 , +8.0745e+03 , +9.4172e+02 , +9.0163e+03 , -8.0745e+03 , +1.0479e+04 , +1.0479e+04 , +1.0473e-07 , +0.0000e+00, +1.0473e-07 
5.10387e+02 , +9.8465e+03 , +2.0577e+03 , +7.7888e+03 , +9.4130e+02 , +8.7301e+03 , -7.7888e+03 , +1.0788e+04 , +1.0788e+04 , +9.7679e-08 , +0.0000e+00, +9.7679e-08 
7.53604e+02 , +1.0319e+04 , +2.8593e+03 , +7.4592e+03 , +9.4068e+02 , +8.3999e+03 , -7.4592e+03 , +1.1259e+04 , +1.1259e+04 , +9.8679e-08 , +0.0000e+00, +9.8679e-08 
1.11272e+03 , +1.1103e+04 , +4.0213e+03 , +7.0817e+03 , +9.3977e+02 , +8.0215e+03 , -7.0817e+03 , +1.2043e+04 , +1.2043e+04 , +9.9351e-08 , +0.0000e+00, +9.9351e-08 
1.64297e+03 , +1.2553e+04 , +5.9507e+03 , +6.6024e+03 , +9.3843e+02 , +7.5408e+03 , -6.6024e+03 , +1.3492e+04 , +1.3492e+04 , +9.4163e-08 , +0.0000e+00, +9.4163e-08 
2.42591e+03 , +1.5099e+04 , +9.1226e+03 , +5.9768e+03 , +9.3649e+02 , +6.9133e+03 , -5.9768e+03 , +1.6036e+04 , +1.6036e+04 , +8.7013e-08 , +0.0000e+00, +8.7013e-08 
3.58194e+03 , +1.9362e+04 , +1.4122e+04 , +5.2404e+03 , +9.3364e+02 , +6.1740e+03 , -5.2404e+03 , +2.0296e+04 , +2.0296e+04 , +7.3880e-08 , +0.0000e+00, +7.3880e-08 
5.28886e+03 , +2.6026e+04 , +2.1578e+04 , +4.4477e+03 , +9.2946e+02 , +5.3772e+03 , -4.4477e+03 , +2.6955e+04 , +2.6955e+04 , +5.4644e-08 , +0.0000e+00, +5.4644e-08 
7.80918e+03 , +3.6721e+04 , +3.3371e+04 , +3.3508e+03 , +9.2342e+02 , +4.5136e+03 , -3.5901e+03 , +3.7645e+04 , +3.7884e+04 , -2.3933e+02 , +2.3933e+02, +2.0078e-06 
