# pressure  , temperature 
# [Pa]      , [K] 
1.00000e+00 , 4.46097e+02 
1.09973e+00 , 4.58891e+02 
1.20940e+00 , 4.75121e+02 
1.33001e+00 , 4.84480e+02 
1.46265e+00 , 4.88037e+02 
1.60852e+00 , 4.89497e+02 
1.76894e+00 , 4.89258e+02 
1.94535e+00 , 4.88704e+02 
2.13935e+00 , 4.87423e+02 
2.35271e+00 , 4.85618e+02 
2.58734e+00 , 4.83826e+02 
2.84537e+00 , 4.81944e+02 
3.12913e+00 , 4.80087e+02 
3.44120e+00 , 4.78200e+02 
3.78438e+00 , 4.76209e+02 
4.16179e+00 , 4.74280e+02 
4.57684e+00 , 4.72567e+02 
5.03328e+00 , 4.70983e+02 
5.53524e+00 , 4.69498e+02 
6.08726e+00 , 4.68119e+02 
6.69433e+00 , 4.66820e+02 
7.36194e+00 , 4.65673e+02 
8.09614e+00 , 4.64737e+02 
8.90355e+00 , 4.63936e+02 
9.79148e+00 , 4.63235e+02 
1.07680e+01 , 4.62636e+02 
1.18418e+01 , 4.62079e+02 
1.30228e+01 , 4.61722e+02 
1.43215e+01 , 4.61610e+02 
1.57498e+01 , 4.61564e+02 
1.73205e+01 , 4.61633e+02 
1.90479e+01 , 4.61772e+02 
2.09475e+01 , 4.61945e+02 
2.30365e+01 , 4.62203e+02 
2.53339e+01 , 4.62682e+02 
2.78604e+01 , 4.63319e+02 
3.06389e+01 , 4.64000e+02 
3.36944e+01 , 4.64759e+02 
3.70547e+01 , 4.65558e+02 
4.07501e+01 , 4.66489e+02 
4.48140e+01 , 4.67719e+02 
4.92833e+01 , 4.69163e+02 
5.41982e+01 , 4.70733e+02 
5.96033e+01 , 4.72466e+02 
6.55474e+01 , 4.74345e+02 
7.20843e+01 , 4.76441e+02 
7.92732e+01 , 4.78873e+02 
8.71790e+01 , 4.81558e+02 
9.58732e+01 , 4.84411e+02 
1.05434e+02 , 4.87462e+02 
1.15949e+02 , 4.90723e+02 
1.27513e+02 , 4.94158e+02 
1.40229e+02 , 4.97745e+02 
1.54214e+02 , 5.01428e+02 
1.69593e+02 , 5.05116e+02 
1.86507e+02 , 5.08867e+02 
2.05107e+02 , 5.12699e+02 
2.25562e+02 , 5.16646e+02 
2.48056e+02 , 5.20738e+02 
2.72795e+02 , 5.25029e+02 
3.00000e+02 , 5.29664e+02 
3.29918e+02 , 5.34446e+02 
3.62821e+02 , 5.39089e+02 
