# pressure    , temperature , height      , H2O         , CO2         , O3          , N2O         , CO          , CH4         , O2          , NO          , NO2         , HNO         , OH          , CLO         , N2          , HCN         , HO2         , O         
# [Pa]        , [K]         , [m]         , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]    
1.4383200e-04 , 1.16290e+03 , 2.00000e+05 , 1.00000e-10 , 2.02900e-06 , 9.46500e-13 , 1.00000e-12 , 1.00000e-06 , 1.00000e-11 , 1.65100e-02 , 4.04200e-04 , 5.31900e-16 , 1.00000e-23 , 1.05700e-18 , 4.91300e-14 , 3.59900e-01 , 4.50000e-11 , 1.00000e-11 , 6.01900e-01
1.4687800e-04 , 1.15897e+03 , 1.99000e+05 , 1.00400e-10 , 2.03000e-06 , 9.48900e-13 , 1.00200e-12 , 1.00200e-06 , 1.00300e-11 , 1.67500e-02 , 4.04200e-04 , 5.30400e-16 , 1.01000e-23 , 1.05400e-18 , 4.91300e-14 , 3.63200e-01 , 4.50000e-11 , 9.94900e-12 , 6.02300e-01
1.5000700e-04 , 1.15502e+03 , 1.98000e+05 , 1.01600e-10 , 2.03300e-06 , 9.46900e-13 , 1.00800e-12 , 1.00800e-06 , 1.01100e-11 , 1.69900e-02 , 4.04200e-04 , 5.31600e-16 , 1.03900e-23 , 1.05700e-18 , 4.91300e-14 , 3.66500e-01 , 4.50000e-11 , 9.79900e-12 , 6.01700e-01
1.5322100e-04 , 1.15102e+03 , 1.97000e+05 , 1.03600e-10 , 2.03800e-06 , 9.41700e-13 , 1.01900e-12 , 1.01700e-06 , 1.02400e-11 , 1.72400e-02 , 4.04200e-04 , 5.34900e-16 , 1.08900e-23 , 1.06300e-18 , 4.91300e-14 , 3.69800e-01 , 4.50000e-11 , 9.55800e-12 , 6.00500e-01
1.5652200e-04 , 1.14696e+03 , 1.96000e+05 , 1.06400e-10 , 2.04500e-06 , 9.33900e-13 , 1.03400e-12 , 1.03000e-06 , 1.04300e-11 , 1.74900e-02 , 4.04200e-04 , 5.40000e-16 , 1.16200e-23 , 1.07200e-18 , 4.91300e-14 , 3.73200e-01 , 4.50000e-11 , 9.23600e-12 , 5.99000e-01
1.5991400e-04 , 1.14284e+03 , 1.95000e+05 , 1.10100e-10 , 2.05400e-06 , 9.24000e-13 , 1.05300e-12 , 1.04700e-06 , 1.06800e-11 , 1.77500e-02 , 4.04200e-04 , 5.46600e-16 , 1.26200e-23 , 1.08300e-18 , 4.91300e-14 , 3.76600e-01 , 4.50000e-11 , 8.84300e-12 , 5.97300e-01
1.6340000e-04 , 1.13860e+03 , 1.94000e+05 , 1.14800e-10 , 2.06500e-06 , 9.04800e-13 , 1.07600e-12 , 1.06800e-06 , 1.09800e-11 , 1.80000e-02 , 4.04200e-04 , 5.59900e-16 , 1.39500e-23 , 1.10700e-18 , 4.91300e-14 , 3.80000e-01 , 4.50000e-11 , 8.39300e-12 , 5.93800e-01
1.6698400e-04 , 1.13428e+03 , 1.93000e+05 , 1.20500e-10 , 2.07800e-06 , 8.83000e-13 , 1.10400e-12 , 1.09200e-06 , 1.13400e-11 , 1.82700e-02 , 4.04200e-04 , 5.75800e-16 , 1.56700e-23 , 1.13600e-18 , 4.91300e-14 , 3.83400e-01 , 4.50000e-11 , 7.89700e-12 , 5.90300e-01
1.7066900e-04 , 1.12987e+03 , 1.92000e+05 , 1.27300e-10 , 2.09300e-06 , 8.59100e-13 , 1.13700e-12 , 1.12100e-06 , 1.17700e-11 , 1.85300e-02 , 4.04200e-04 , 5.94600e-16 , 1.78900e-23 , 1.17000e-18 , 4.91300e-14 , 3.86800e-01 , 4.50000e-11 , 7.37100e-12 , 5.86800e-01
1.7445900e-04 , 1.12538e+03 , 1.91000e+05 , 1.35300e-10 , 2.11000e-06 , 8.33400e-13 , 1.17500e-12 , 1.15400e-06 , 1.22700e-11 , 1.88100e-02 , 4.04200e-04 , 6.16500e-16 , 2.07400e-23 , 1.21000e-18 , 4.91300e-14 , 3.90300e-01 , 4.50000e-11 , 6.82500e-12 , 5.83200e-01
1.7835700e-04 , 1.12080e+03 , 1.90000e+05 , 1.44800e-10 , 2.12900e-06 , 8.06400e-13 , 1.21800e-12 , 1.19100e-06 , 1.28500e-11 , 1.90800e-02 , 4.04200e-04 , 6.41500e-16 , 2.44200e-23 , 1.25500e-18 , 4.91300e-14 , 3.93800e-01 , 4.50000e-11 , 6.27100e-12 , 5.79700e-01
1.8236900e-04 , 1.11610e+03 , 1.89000e+05 , 1.55900e-10 , 2.15100e-06 , 7.78500e-13 , 1.26700e-12 , 1.23400e-06 , 1.35100e-11 , 1.93600e-02 , 4.04200e-04 , 6.70000e-16 , 2.91800e-23 , 1.30700e-18 , 4.91300e-14 , 3.97300e-01 , 4.50000e-11 , 5.72100e-12 , 5.76100e-01
1.8649700e-04 , 1.11130e+03 , 1.88000e+05 , 1.68800e-10 , 2.17500e-06 , 7.50000e-13 , 1.32200e-12 , 1.28100e-06 , 1.42600e-11 , 1.96500e-02 , 4.04200e-04 , 7.02200e-16 , 3.53700e-23 , 1.36700e-18 , 4.91300e-14 , 4.00800e-01 , 4.50000e-11 , 5.18200e-12 , 5.72400e-01
1.9074800e-04 , 1.10642e+03 , 1.87000e+05 , 1.83900e-10 , 2.20200e-06 , 7.21200e-13 , 1.38400e-12 , 1.33400e-06 , 1.51200e-11 , 1.99400e-02 , 4.04200e-04 , 7.38500e-16 , 4.34600e-23 , 1.43400e-18 , 4.91300e-14 , 4.04400e-01 , 4.50000e-11 , 4.66300e-12 , 5.68800e-01
1.9512400e-04 , 1.10145e+03 , 1.86000e+05 , 2.01400e-10 , 2.23000e-06 , 6.92400e-13 , 1.45300e-12 , 1.39200e-06 , 1.60800e-11 , 2.02300e-02 , 4.04200e-04 , 7.79300e-16 , 5.41300e-23 , 1.51100e-18 , 4.91300e-14 , 4.07900e-01 , 4.50000e-11 , 4.16900e-12 , 5.65100e-01
1.9963200e-04 , 1.09638e+03 , 1.85000e+05 , 2.21700e-10 , 2.26200e-06 , 6.63800e-13 , 1.53000e-12 , 1.45700e-06 , 1.71700e-11 , 2.05300e-02 , 4.04200e-04 , 8.24900e-16 , 6.82800e-23 , 1.59700e-18 , 4.91300e-14 , 4.11500e-01 , 4.50000e-11 , 3.70500e-12 , 5.61400e-01
2.0427600e-04 , 1.09118e+03 , 1.84000e+05 , 2.45300e-10 , 2.29600e-06 , 6.35800e-13 , 1.61500e-12 , 1.52800e-06 , 1.84000e-11 , 2.08400e-02 , 4.04200e-04 , 8.75800e-16 , 8.72000e-23 , 1.69400e-18 , 4.91300e-14 , 4.15100e-01 , 4.50000e-11 , 3.27300e-12 , 5.57600e-01
2.0906300e-04 , 1.08589e+03 , 1.83000e+05 , 2.72800e-10 , 2.33300e-06 , 6.08500e-13 , 1.71000e-12 , 1.60600e-06 , 1.97900e-11 , 2.11500e-02 , 4.04200e-04 , 9.32600e-16 , 1.12700e-22 , 1.80300e-18 , 4.91300e-14 , 4.18800e-01 , 4.50000e-11 , 2.87600e-12 , 5.53900e-01
2.1399700e-04 , 1.08049e+03 , 1.82000e+05 , 3.04900e-10 , 2.37200e-06 , 5.82000e-13 , 1.81500e-12 , 1.69200e-06 , 2.13400e-11 , 2.14700e-02 , 4.04200e-04 , 9.95800e-16 , 1.47400e-22 , 1.92600e-18 , 4.91300e-14 , 4.22400e-01 , 4.50000e-11 , 2.51400e-12 , 5.50100e-01
2.1908500e-04 , 1.07500e+03 , 1.81000e+05 , 3.42200e-10 , 2.41500e-06 , 5.56400e-13 , 1.93200e-12 , 1.78700e-06 , 2.31000e-11 , 2.17900e-02 , 4.04200e-04 , 1.06600e-15 , 1.94800e-22 , 2.06400e-18 , 4.91300e-14 , 4.26100e-01 , 4.50000e-11 , 2.18600e-12 , 5.46200e-01
2.2433400e-04 , 1.06939e+03 , 1.80000e+05 , 3.85700e-10 , 2.46100e-06 , 5.32000e-13 , 2.06000e-12 , 1.89000e-06 , 2.50700e-11 , 2.21200e-02 , 4.04200e-04 , 1.14400e-15 , 2.60200e-22 , 2.22000e-18 , 4.91300e-14 , 4.29800e-01 , 4.50000e-11 , 1.89300e-12 , 5.42400e-01
2.2974900e-04 , 1.06363e+03 , 1.79000e+05 , 4.36700e-10 , 2.51000e-06 , 5.08700e-13 , 2.20300e-12 , 2.00400e-06 , 2.72900e-11 , 2.24500e-02 , 4.04200e-04 , 1.23100e-15 , 3.51100e-22 , 2.39600e-18 , 4.91300e-14 , 4.33500e-01 , 4.50000e-11 , 1.63200e-12 , 5.38500e-01
2.3533900e-04 , 1.05776e+03 , 1.78000e+05 , 4.96300e-10 , 2.56300e-06 , 4.86700e-13 , 2.36000e-12 , 2.12800e-06 , 2.97900e-11 , 2.27900e-02 , 4.04200e-04 , 1.32800e-15 , 4.78300e-22 , 2.59500e-18 , 4.91300e-14 , 4.37300e-01 , 4.50000e-11 , 1.40200e-12 , 5.34600e-01
2.4111000e-04 , 1.05176e+03 , 1.77000e+05 , 5.66100e-10 , 2.61900e-06 , 4.66000e-13 , 2.53400e-12 , 2.26300e-06 , 3.26100e-11 , 2.31400e-02 , 4.04200e-04 , 1.43600e-15 , 6.57500e-22 , 2.81900e-18 , 4.91300e-14 , 4.41000e-01 , 4.50000e-11 , 1.19900e-12 , 5.30600e-01
2.4707100e-04 , 1.04566e+03 , 1.76000e+05 , 6.48100e-10 , 2.67900e-06 , 4.46500e-13 , 2.72600e-12 , 2.41200e-06 , 3.57800e-11 , 2.35000e-02 , 4.04200e-04 , 1.55500e-15 , 9.11800e-22 , 3.07300e-18 , 4.91300e-14 , 4.44800e-01 , 4.50000e-11 , 1.02200e-12 , 5.26600e-01
2.5323100e-04 , 1.03943e+03 , 1.75000e+05 , 7.44400e-10 , 2.74300e-06 , 4.28400e-13 , 2.93800e-12 , 2.57300e-06 , 3.93600e-11 , 2.38600e-02 , 4.04200e-04 , 1.68700e-15 , 1.27500e-21 , 3.36000e-18 , 4.91300e-14 , 4.48600e-01 , 4.50000e-11 , 8.69200e-13 , 5.22600e-01
2.5959700e-04 , 1.03303e+03 , 1.74000e+05 , 8.57800e-10 , 2.81100e-06 , 4.11700e-13 , 3.17300e-12 , 2.75000e-06 , 4.33900e-11 , 2.42300e-02 , 4.04200e-04 , 1.83500e-15 , 1.79600e-21 , 3.68600e-18 , 4.91300e-14 , 4.52500e-01 , 4.50000e-11 , 7.36800e-13 , 5.18500e-01
2.6618000e-04 , 1.02651e+03 , 1.73000e+05 , 9.91400e-10 , 2.88400e-06 , 3.96200e-13 , 3.43100e-12 , 2.94200e-06 , 4.79300e-11 , 2.46100e-02 , 4.04200e-04 , 1.99800e-15 , 2.54800e-21 , 4.05700e-18 , 4.91300e-14 , 4.56300e-01 , 4.50000e-11 , 6.23100e-13 , 5.14400e-01
2.7299000e-04 , 1.01986e+03 , 1.72000e+05 , 1.14900e-09 , 2.96200e-06 , 3.82100e-13 , 3.71700e-12 , 3.15200e-06 , 5.30600e-11 , 2.49900e-02 , 4.04200e-04 , 2.18000e-15 , 3.64100e-21 , 4.47800e-18 , 4.91300e-14 , 4.60200e-01 , 4.50000e-11 , 5.25800e-13 , 5.10300e-01
2.8003700e-04 , 1.01308e+03 , 1.71000e+05 , 1.33500e-09 , 3.04400e-06 , 3.69300e-13 , 4.03300e-12 , 3.38100e-06 , 5.88500e-11 , 2.53900e-02 , 4.04200e-04 , 2.38100e-15 , 5.23500e-21 , 4.95900e-18 , 4.91300e-14 , 4.64100e-01 , 4.50000e-11 , 4.42800e-13 , 5.06200e-01
2.8733300e-04 , 1.00618e+03 , 1.70000e+05 , 1.55500e-09 , 3.13200e-06 , 3.57900e-13 , 4.38200e-12 , 3.63000e-06 , 6.53900e-11 , 2.57900e-02 , 4.04200e-04 , 2.60400e-15 , 7.57000e-21 , 5.50900e-18 , 4.91300e-14 , 4.68000e-01 , 4.50000e-11 , 3.72400e-13 , 5.02000e-01
