# Extracted from their Figure 2 by Harrison Nicholls using https://apps.automeris.io/wpd/
# T_surf (K), OLR (W/m^2)
563.6054142400407, 276.2260087150243
573.6680746969117, 276.2260087150243
583.9103947754116, 276.2260087150243
591.9499953211996, 276.2260087150243
607.8736374120098, 275.9323468312467
626.7412896788082, 276.2260087150243
637.9311835886167, 276.2260087150243
649.3208628449061, 276.2260087150243
658.7907823177703, 276.2260087150243
677.601698094798, 276.2260087150243
698.0718760627981, 276.2260087150243
710.5353125128944, 276.2260087150243
723.2212722495922, 276.2260087150243
734.3594545212328, 276.2260087150243
754.7208017119527, 276.2260087150243
777.5207285283012, 276.4130471608069
791.4026517527427, 276.2260087150243
805.5324240509619, 276.2260087150243
841.2934290171642, 276.2260087150243
867.4061453715331, 276.2260087150243
882.8928907053167, 276.2260087150243
898.6561377474569, 276.2260087150243
911.7624488876486, 276.2260087150243
937.7966422841339, 276.2260087150243
966.127244493846, 276.2260087150243
983.3765649826898, 276.2260087150243
1000.9338563511694, 276.2260087150243
1015.5318210242576, 276.2260087150243
1044.529014164954, 276.2260087150243
1077.8165498829183, 275.1995572636043
1097.059981017967, 275.1995572636043
1116.6469860588795, 275.1995572636043
1132.932550935485, 275.1995572636043
1163.4087948694616, 275.1995572636043
1200.4848466484266, 275.1995572636043
1221.918408303846, 275.1995572636043
1243.7346466473714, 274.82724862550003
1261.8737018099578, 275.0532330427003
1297.9048676415166, 275.02885323764497
1337.1142493488771, 274.2697298636018
1360.9872043335006, 274.1769200894384
1385.2863891485024, 274.1769200894384
1405.4898837576454, 274.1769200894384
1445.621823272362, 274.1769200894384
1491.6915709043296, 274.1769200894384
1518.3243629342408, 274.1769200894384
1545.4326591669953, 274.1769200894384
1567.9717822269308, 274.1769200894384
1608.856051046131, 274.1769200894384
1661.4637499659489, 274.1769200894384
1691.1276693586512, 274.1769200894384
1721.3212109677604, 274.3625710541739
1746.4255533469325, 275.1995572636043
1796.2924684231848, 276.56900927340087
1850.558015003997, 281.70185733198275
1883.5980399757884, 286.9947134835961
1917.2279644488556, 295.1709883413671
1943.6254170842215, 303.5459528779254
1984.70271153793, 324.785768830447
2034.8156376795168, 361.1410488212317
2067.8160767298614, 394.078469332594
2094.6013558132913, 424.51573259112934
2128.571393735799, 474.2740322632309
2164.8330237866526, 536.3716558926643
2191.111786593515, 585.3340015064413
2217.709545538682, 641.0204819900695
2255.489703318324, 729.8928474122171
2290.226036984541, 825.3054998128439
2318.026937164246, 904.3629084483327
2346.165310605679, 987.245209624608
2384.2151879021644, 1115.7799725800692
2422.8821543507793, 1261.0493675468595
2452.293358237441, 1375.1574575345746
2484.0589309757597, 1501.6414581443446
2528.409536817565, 1700.6092857744138
2573.5519822626957, 1919.8951562030259
2608.986066167249, 2088.399329223799
2644.9080260932706, 2272.8676008319776
2694.2968392259577, 2554.611511240963
2749.0269208144723, 2874.845683116344
2789.1196778141307, 3122.800610512816
2829.7971614134676, 3376.741685995994
2884.9581383038562, 3758.2952451330348
2950.6730709524572, 4226.349083142227
3000.939750103917, 4598.57715072019
3042.2583446497324, 4920.437513251069
3104.0566754765073, 5435.923886866455
3177.3171114022507, 6101.608228298436
3231.44482259248, 6633.156882354744
3278.573328700968, 7088.272321530779
3342.482258317533, 7829.308827696301
3421.369898885759, 8767.292168611162
3479.6552117043193, 9493.398306869492
3530.40370375769, 10199.672842799799
3602.117881621834, 11296.086394430986
3681.2062999827754, 12677.977074109001
3737.8998021265697, 13724.816977927238
3789.365269359489, 14793.395521572293
3863.2310194926135, 16495.30538968114
3944.877964801892, 18616.908881831718
4002.411425983581, 20234.119386324834
4054.256320826076, 21818.51877940024
4129.962132085247, 24503.615388195783
4210.467105668709, 27693.013681553857
4268.439140322714, 30150.047843857756
4323.7300024602155, 32769.11712080098
4397.387620076611, 36767.612896176055
4479.500779890621, 41585.53842583606
4537.525610964356, 45324.36119144554
4596.302061735597, 49376.346273544754
4674.603125752113, 55747.8145424375
4758.063899613731, 63286.06668330377
4819.697074286354, 69102.89817771949
4878.203053650322, 75130.68655646771
4949.348449915501, 84086.57947334718
